filename,module,ogp cords
7cc4bba8-d2db-11eb-92c6-8c85909d90f2.jpg,Module4_all_06-18-2021,"+114.52487254,      +181.14550560,        +1.29009123,          1.00000000,     0.00000000,     0.00000000,     0.00000000,     1.00000000,     0.00000000,     0.00000000,     0.00000000,     1.00000000,  +0.00966338,   +0.00966382, 319, 239
"
7cc6f4b8-d2db-11eb-92c6-8c85909d90f2.jpg,Module4_all_06-18-2021,"+168.85218527,      +149.26139253,        +1.25404979,          1.00000000,     0.00000000,     0.00000000,     0.00000000,     1.00000000,     0.00000000,     0.00000000,     0.00000000,     1.00000000,  +0.00966338,   +0.00966382, 319, 239
"
7cc93dd6-d2db-11eb-92c6-8c85909d90f2.jpg,Module4_all_06-18-2021,"+150.87271457,      +180.91093302,        +1.26382166,          1.00000000,     0.00000000,     0.00000000,     0.00000000,     1.00000000,     0.00000000,     0.00000000,     0.00000000,     1.00000000,  +0.00966338,   +0.00966382, 319, 239
"
7ccb4db0-d2db-11eb-92c6-8c85909d90f2.jpg,Module4_all_06-18-2021,"+162.89822066,      +166.88185308,        +1.25718776,          1.00000000,     0.00000000,     0.00000000,     0.00000000,     1.00000000,     0.00000000,     0.00000000,     0.00000000,     1.00000000,  +0.00966338,   +0.00966382, 319, 239
"
7ccd4d04-d2db-11eb-92c6-8c85909d90f2.jpg,Module4_all_06-18-2021,"+180.73683356,      +135.34884493,        +1.24651942,          1.00000000,     0.00000000,     0.00000000,     0.00000000,     1.00000000,     0.00000000,     0.00000000,     0.00000000,     1.00000000,  +0.00966338,   +0.00966382, 319, 239
"
7ccf6a26-d2db-11eb-92c6-8c85909d90f2.jpg,Module4_all_06-18-2021,"+162.73785173,      +138.93060596,        +1.25850737,          1.00000000,     0.00000000,     0.00000000,     0.00000000,     1.00000000,     0.00000000,     0.00000000,     0.00000000,     1.00000000,  +0.00966338,   +0.00966382, 319, 239
"
7cd182f2-d2db-11eb-92c6-8c85909d90f2.jpg,Module4_all_06-18-2021,"+144.04613055,       +65.88700070,        +1.27655086,          1.00000000,     0.00000000,     0.00000000,     0.00000000,     1.00000000,     0.00000000,     0.00000000,     0.00000000,     1.00000000,  +0.00966338,   +0.00966382, 319, 239
"
7cd38a84-d2db-11eb-92c6-8c85909d90f2.jpg,Module4_all_06-18-2021,"+192.73551871,      +114.34431290,        +1.24052600,          1.00000000,     0.00000000,     0.00000000,     0.00000000,     1.00000000,     0.00000000,     0.00000000,     0.00000000,     1.00000000,  +0.00966338,   +0.00966382, 319, 239
"
7cd58d02-d2db-11eb-92c6-8c85909d90f2.jpg,Module4_all_06-18-2021,"+174.52781766,      +117.83228877,        +1.25202207,          1.00000000,     0.00000000,     0.00000000,     0.00000000,     1.00000000,     0.00000000,     0.00000000,     0.00000000,     1.00000000,  +0.00966338,   +0.00966382, 319, 239
"
7cd78dd2-d2db-11eb-92c6-8c85909d90f2.jpg,Module4_all_06-18-2021,"+150.16039948,       +83.24941088,        +1.27093919,          1.00000000,     0.00000000,     0.00000000,     0.00000000,     1.00000000,     0.00000000,     0.00000000,     0.00000000,     1.00000000,  +0.00966338,   +0.00966382, 319, 239
"
7cd9b49a-d2db-11eb-92c6-8c85909d90f2.jpg,Module4_all_06-18-2021," +35.32364233,       +94.41726074,        +1.35632381,          1.00000000,     0.00000000,     0.00000000,     0.00000000,     1.00000000,     0.00000000,     0.00000000,     0.00000000,     1.00000000,  +0.00966338,   +0.00966382, 319, 239
"
7cdbea26-d2db-11eb-92c6-8c85909d90f2.jpg,Module4_all_06-18-2021,"+156.51073350,      +107.63736072,        +1.26515813,          1.00000000,     0.00000000,     0.00000000,     0.00000000,     1.00000000,     0.00000000,     0.00000000,     0.00000000,     1.00000000,  +0.00966338,   +0.00966382, 319, 239
"
7cde7ffc-d2db-11eb-92c6-8c85909d90f2.jpg,Module4_all_06-18-2021,"+162.54134676,      +117.97049537,        +1.26075764,          1.00000000,     0.00000000,     0.00000000,     0.00000000,     1.00000000,     0.00000000,     0.00000000,     0.00000000,     1.00000000,  +0.00966338,   +0.00966382, 319, 239
"
7ce1dd78-d2db-11eb-92c6-8c85909d90f2.jpg,Module4_all_06-18-2021," +41.42668170,       +76.94241357,        +1.35266246,          1.00000000,     0.00000000,     0.00000000,     0.00000000,     1.00000000,     0.00000000,     0.00000000,     0.00000000,     1.00000000,  +0.00966338,   +0.00966382, 319, 239
"
7ce48172-d2db-11eb-92c6-8c85909d90f2.jpg,Module4_all_06-18-2021,"+162.29396579,       +97.05254705,        +1.26183361,          1.00000000,     0.00000000,     0.00000000,     0.00000000,     1.00000000,     0.00000000,     0.00000000,     0.00000000,     1.00000000,  +0.00966338,   +0.00966382, 319, 239
"
7ce6ab1e-d2db-11eb-92c6-8c85909d90f2.jpg,Module4_all_06-18-2021," +23.49283994,      +108.52156412,        +1.36478516,          1.00000000,     0.00000000,     0.00000000,     0.00000000,     1.00000000,     0.00000000,     0.00000000,     0.00000000,     1.00000000,  +0.00966338,   +0.00966382, 319, 239
"
7ce919bc-d2db-11eb-92c6-8c85909d90f2.jpg,Module4_all_06-18-2021," +29.60438436,      +125.97947159,        +1.35862126,          1.00000000,     0.00000000,     0.00000000,     0.00000000,     1.00000000,     0.00000000,     0.00000000,     0.00000000,     1.00000000,  +0.00966338,   +0.00966382, 319, 239
"
